id_venta,producto_id,producto_nombre,cantidad,precio_unitario,descuento,subtotal,fecha
1,1,Arroz 1kg,5,1.25,0.0,6.25,2026-08-20 02:49:37
2,2,Aceite 1L,3,3.1,0.0,9.3,2026-08-20 02:49:37
3,3,Leche 1L,12,0.95,0.57,10.83,2026-08-20 02:49:37
4,4,Pan Molde,2,2.2,0.0,4.4,2026-08-20 02:49:37
5,5,Detergente 1kg,1,4.5,0.0,4.5,2026-08-20 02:49:37
6,1,Arroz 1kg,10,1.25,0.62,11.88,2026-08-20 02:49:37
7,2,Aceite 1L,4,3.1,0.0,12.4,2026-08-20 02:49:37
8,3,Leche 1L,6,0.95,0.0,5.7,2026-08-20 02:49:37
9,4,Pan Molde,15,2.2,1.65,31.35,2026-08-20 02:49:37
10,5,Detergente 1kg,2,4.5,0.0,9.0,2026-08-20 02:49:37
11,1,Arroz 1kg,3,1.25,0.0,3.75,2026-08-20 02:49:37
12,3,Leche 1L,4,0.95,0.0,3.8,2026-08-20 02:49:37
13,6,Yogurt 1L,11,2.9,1.59,30.31,2026-08-20 02:49:37
14,6,Yogurt 1L,2,2.9,0.0,5.8,2026-08-20 02:49:37
